timestamp,src_ip,dst_ip,protocol,packet_length,ttl,tcp_flag,window_size,source_location,experiment_id,experiment_timestamp
1783078637.015913,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078638.282134,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078639.550648,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078640.805744,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078641.110705,104.199.241.202,192.168.1.31,TCP,65,56,PA,11.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078641.165064,192.168.1.31,104.199.241.202,TCP,54,128,A,250.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078641.257463,192.168.1.18,192.168.1.255,UDP,126,64,,,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078641.396931,192.168.1.31,4.145.79.82,TCP,155,128,PA,255.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078641.402873,4.145.79.82,192.168.1.31,TCP,225,114,PA,7840.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078641.44299,192.168.1.31,4.145.79.82,TCP,54,128,A,255.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078642.13295,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078643.396293,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078644.653734,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078645.198915,192.168.1.31,192.168.1.255,UDP,86,128,,,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078645.919213,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078646.276233,192.168.1.18,192.168.1.255,UDP,126,64,,,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.038352,192.168.1.31,4.207.44.65,TCP,54,128,FA,1019.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.070011,192.168.1.31,52.110.8.131,TCP,54,128,FA,255.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.088173,52.110.8.131,192.168.1.31,TCP,60,112,FA,251.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.088222,192.168.1.31,52.110.8.131,TCP,54,128,A,255.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.179096,192.168.1.31,8.8.8.8,TCP,78,64,S,8192.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.208524,4.207.44.65,192.168.1.31,TCP,60,108,FA,16386.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.208582,192.168.1.31,4.207.44.65,TCP,54,128,A,1019.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.320255,192.168.1.31,40.126.35.20,TCP,54,128,FA,255.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.328633,40.126.35.20,192.168.1.31,TCP,60,114,FA,16384.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078647.32868,192.168.1.31,40.126.35.20,TCP,54,128,A,255.0,sg,dc174bcfd5f74a21aa3ca0fdb9b8aa53,2026-07-03T11:37:17
1783078674.780196,192.168.1.31,8.8.8.8,TCP,142,64,S,8192.0,sg,11ea821bd4ff4825b8743e3fb7bb033e,2026-07-03T11:37:54
1783078675.203117,192.168.1.31,192.168.1.255,UDP,86,128,,,sg,11ea821bd4ff4825b8743e3fb7bb033e,2026-07-03T11:37:54
